uid,displayName,cost,availableToOrder,type,description
"1","Produce Box #1",25,true,"foodbox","Frisee and Head Lettuce box - one of every head of lettuce, 1/2 lb bag baby spinach, 1/4lb Italian parsley, 1/4lb cilantro"
"2","Produce Box #2 (large)",25,true,"foodbox","Loose-leaf box: 1/2 baby arugula, 1/2 baby spinach, 1/2 salad mix, 1/4lb Italian parsley, 1/4lb cilantro"
"3","Produce Box #2b (small)",19,true,"foodbox","A smaller loose leaf box baby arugula, baby spinach, salad mix, Italian parsley, cilantro"
"4","Produce Box #3 (large)","8",true,"foodbox","8 or 9 types, like broccoli, celery and kale."
"5","Produce Box #3 b (small)",14,true,"foodbox","8 or 9 types of produce, like broccoli, celery and kale, but smaller quantities than the large box."
"6","Produce Box #4: Fruit Box",30,true,"foodbox","Oranges, Mandarins, Grapefruits, Lemons, and Peaches"
"7","Donate a box",25, true,"donationbox","Enter the number of donation produce boxes you want to donate, for none leave blank or put a 0. Donations are 100% tax-deductible."
